STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,STATE,REGION,PRCP,SNOW,SNWD,TMAX,TMIN,TAVG
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-02-01,MONTANA,WEST,0.1,1,25,32,25,28.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-02-02,MONTANA,WEST,0,0,2,36,8,22
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-02-02,MONTANA,WEST,0.1,2,28,31,15,23
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-02-02,MONTANA,WEST,0.2,4,6,10,-19,-4.5
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-02-02,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-02-02,MONTANA,WEST,0.1,1,25,32,22,27
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-02-03,MONTANA,WEST,0,0,2,34,0,17
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-02-03,MONTANA,WEST,0,0.4,27,31,18,24.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-02-03,MONTANA,WEST,0,0,6,7,-17,-5
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-02-03,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-02-03,MONTANA,WEST,0.1,0.8,24,30,21,25.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-02-04,MONTANA,WEST,0,0,2,25,3,14
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-02-04,MONTANA,WEST,0,0,26,33,18,25.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-02-04,MONTANA,WEST,0,0,6,13,-4,4.5
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-02-04,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-02-04,MONTANA,WEST,0,0,23,27,17,22
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-02-05,MONTANA,WEST,0,0,2,36,-3,16.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-02-05,MONTANA,WEST,0.1,1.5,27,27,19,23
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-02-05,MONTANA,WEST,0,0,6,9,-13,-2
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-02-05,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-02-05,MONTANA,WEST,0.1,1.5,24,26,16,21
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-02-06,MONTANA,WEST,0,0,2,38,19,28.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-02-06,MONTANA,WEST,0.1,0.8,26,34,20,27
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-02-06,MONTANA,WEST,0,0,5,38,-14,12
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-02-06,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-02-06,MONTANA,WEST,0,0,22,35,23,29
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-02-07,MONTANA,WEST,0,0,2,37,5,21
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-02-07,MONTANA,WEST,0.3,6,32,35,24,29.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-02-07,MONTANA,WEST,0,1,2,35,6,20.5
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-02-07,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-02-07,MONTANA,WEST,0.1,2,23,33,25,29
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-02-08,MONTANA,WEST,0,0,1,43,12,27.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-02-08,MONTANA,WEST,0,0,29,35,25,30
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-02-08,MONTANA,WEST,0,0,2,37,2,19.5
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-02-08,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-02-08,MONTANA,WEST,0.2,1.5,22,36,25,30.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-02-09,MONTANA,WEST,0.2,4,5,37,-7,15
